epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,710.023,1.25501,0.68352,1.08431,0.89289,0.84043,0.91401,0.6011,1.19304,0.617,1.10413,0.00091882,0.00091882,0.00091882
43,726.651,1.2636,0.68871,1.082,0.89366,0.85502,0.91954,0.61282,1.17342,0.60437,1.09953,0.00091684,0.00091684,0.00091684
44,743.665,1.25125,0.68358,1.07992,0.8972,0.83261,0.91376,0.6031,1.1864,0.60622,1.09999,0.00091486,0.00091486,0.00091486
45,760.574,1.25708,0.68492,1.08071,0.89019,0.84158,0.91268,0.5991,1.20229,0.62671,1.10759,0.00091288,0.00091288,0.00091288
46,777.393,1.25112,0.6815,1.08056,0.89429,0.84029,0.91428,0.60825,1.16621,0.60278,1.0881,0.0009109,0.0009109,0.0009109
47,794.439,1.25424,0.68088,1.07757,0.89958,0.83145,0.91432,0.60325,1.18938,0.6327,1.10984,0.00090892,0.00090892,0.00090892
48,811.218,1.2554,0.68003,1.08041,0.88859,0.84559,0.91627,0.60703,1.17411,0.61267,1.09131,0.00090694,0.00090694,0.00090694
49,828.226,1.25549,0.68301,1.08215,0.89445,0.84258,0.91294,0.60893,1.18786,0.60945,1.09005,0.00090496,0.00090496,0.00090496
50,844.91,1.24917,0.67652,1.07937,0.90538,0.83394,0.9116,0.60412,1.18998,0.60993,1.1064,0.00090298,0.00090298,0.00090298
51,861.703,1.2467,0.67998,1.07676,0.89634,0.84215,0.91553,0.60494,1.19053,0.61799,1.10823,0.000901,0.000901,0.000901
52,878.581,1.26297,0.68097,1.07897,0.89734,0.85385,0.92214,0.61707,1.17765,0.59704,1.09375,0.00089902,0.00089902,0.00089902
53,895.625,1.24839,0.67672,1.07757,0.90283,0.84039,0.91532,0.61037,1.18603,0.62523,1.10154,0.00089704,0.00089704,0.00089704
54,912.424,1.25006,0.67595,1.07793,0.89849,0.84491,0.91525,0.60933,1.16557,0.60784,1.09472,0.00089506,0.00089506,0.00089506
55,929.165,1.24466,0.67272,1.07465,0.89737,0.84459,0.91918,0.61601,1.16758,0.5948,1.09126,0.00089308,0.00089308,0.00089308
56,945.998,1.2436,0.67466,1.07625,0.90573,0.82566,0.91106,0.60455,1.18207,0.61855,1.10192,0.0008911,0.0008911,0.0008911
57,962.635,1.23955,0.67079,1.07688,0.89839,0.84802,0.92119,0.61525,1.16096,0.58696,1.08454,0.00088912,0.00088912,0.00088912
58,979.663,1.24178,0.66919,1.07458,0.89097,0.84413,0.91428,0.60355,1.18396,0.61576,1.10136,0.00088714,0.00088714,0.00088714
59,996.5,1.24684,0.67168,1.07521,0.89263,0.84807,0.91727,0.60902,1.17593,0.60765,1.09508,0.00088516,0.00088516,0.00088516
60,1013.25,1.24533,0.67009,1.07152,0.89614,0.83557,0.91165,0.59671,1.21717,0.63105,1.11975,0.00088318,0.00088318,0.00088318
61,1029.87,1.25373,0.67569,1.07647,0.88908,0.84804,0.91823,0.61041,1.17064,0.5985,1.09341,0.0008812,0.0008812,0.0008812
62,1046.72,1.23522,0.66624,1.0724,0.89958,0.8483,0.91983,0.61333,1.16952,0.59103,1.09019,0.00087922,0.00087922,0.00087922
63,1063.43,1.23607,0.66488,1.07337,0.90123,0.8509,0.92235,0.61686,1.16193,0.59419,1.08726,0.00087724,0.00087724,0.00087724
64,1080.3,1.24011,0.66779,1.07389,0.88932,0.85166,0.91713,0.60973,1.16634,0.5998,1.09995,0.00087526,0.00087526,0.00087526
65,1097.01,1.23828,0.66436,1.07326,0.90322,0.8521,0.92406,0.61775,1.15183,0.58665,1.08314,0.00087328,0.00087328,0.00087328
66,1113.87,1.23534,0.66368,1.07016,0.91342,0.84335,0.92354,0.61755,1.16181,0.57441,1.08223,0.0008713,0.0008713,0.0008713
67,1130.75,1.24239,0.6684,1.06964,0.896,0.8503,0.91523,0.61047,1.16224,0.59345,1.09131,0.00086932,0.00086932,0.00086932
68,1147.55,1.23923,0.66371,1.07141,0.90637,0.83369,0.91742,0.6173,1.15892,0.5914,1.08539,0.00086734,0.00086734,0.00086734
69,1164.34,1.23152,0.66237,1.07256,0.89006,0.85673,0.91885,0.61179,1.19085,0.58599,1.10446,0.00086536,0.00086536,0.00086536
70,1181.15,1.24254,0.66738,1.07497,0.90761,0.85166,0.92189,0.61863,1.15606,0.58043,1.08671,0.00086338,0.00086338,0.00086338
71,1197.77,1.2307,0.65729,1.07381,0.90522,0.85093,0.92661,0.62302,1.15623,0.56978,1.08554,0.0008614,0.0008614,0.0008614
72,1214.66,1.23049,0.65595,1.07233,0.89963,0.85188,0.92244,0.6156,1.15805,0.59447,1.09061,0.00085942,0.00085942,0.00085942
73,1231.48,1.23187,0.65854,1.07013,0.90018,0.84377,0.91857,0.61678,1.14557,0.58024,1.08003,0.00085744,0.00085744,0.00085744
74,1248.4,1.22754,0.65768,1.07186,0.89697,0.85823,0.92169,0.61982,1.16918,0.58323,1.09855,0.00085546,0.00085546,0.00085546
75,1265.12,1.22597,0.65481,1.07024,0.90875,0.85523,0.9268,0.62019,1.15437,0.5849,1.08546,0.00085348,0.00085348,0.00085348
76,1281.83,1.23564,0.65917,1.0684,0.88665,0.86691,0.92386,0.62141,1.15924,0.57509,1.09392,0.0008515,0.0008515,0.0008515
77,1298.45,1.23184,0.65713,1.07463,0.9052,0.85327,0.92322,0.62052,1.15137,0.57681,1.0861,0.00084952,0.00084952,0.00084952
78,1315.14,1.23296,0.65951,1.07271,0.90286,0.85341,0.91968,0.61871,1.16612,0.58954,1.09396,0.00084754,0.00084754,0.00084754
79,1331.9,1.22955,0.6554,1.06861,0.90057,0.84924,0.9229,0.61674,1.16094,0.57534,1.09111,0.00084556,0.00084556,0.00084556
80,1348.67,1.23054,0.6606,1.07103,0.89971,0.85305,0.92163,0.61587,1.15447,0.5798,1.08809,0.00084358,0.00084358,0.00084358
81,1365.38,1.22796,0.65246,1.06395,0.89661,0.86361,0.92456,0.62266,1.14782,0.56925,1.07666,0.0008416,0.0008416,0.0008416
82,1382.14,1.22995,0.65794,1.07164,0.9042,0.84971,0.92051,0.61948,1.16355,0.57954,1.09152,0.00083962,0.00083962,0.00083962
83,1399.01,1.22508,0.65415,1.0669,0.89817,0.8628,0.92542,0.62055,1.13759,0.57282,1.07554,0.00083764,0.00083764,0.00083764
84,1415.8,1.22765,0.65384,1.06881,0.90096,0.85684,0.924,0.62039,1.15665,0.57235,1.08497,0.00083566,0.00083566,0.00083566
85,1432.56,1.22307,0.65542,1.06967,0.89899,0.86003,0.92695,0.62125,1.14737,0.57198,1.08089,0.00083368,0.00083368,0.00083368
86,1449.41,1.22538,0.64979,1.06454,0.90456,0.85533,0.92567,0.62506,1.13641,0.5717,1.06879,0.0008317,0.0008317,0.0008317
87,1466.13,1.22371,0.65248,1.06534,0.90138,0.85732,0.92527,0.62157,1.1685,0.58255,1.08744,0.00082972,0.00082972,0.00082972
88,1482.95,1.23032,0.65292,1.06342,0.90355,0.86219,0.92891,0.62473,1.13919,0.5616,1.07511,0.00082774,0.00082774,0.00082774
89,1499.89,1.22059,0.65008,1.06541,0.89485,0.86275,0.92355,0.61749,1.17354,0.58175,1.09664,0.00082576,0.00082576,0.00082576
90,1516.84,1.22374,0.65001,1.06429,0.89892,0.85568,0.92659,0.62311,1.15376,0.56773,1.07863,0.00082378,0.00082378,0.00082378
91,1533.63,1.21624,0.64616,1.06246,0.90622,0.84776,0.92395,0.62273,1.14243,0.56463,1.07853,0.0008218,0.0008218,0.0008218
92,1550.52,1.22677,0.64806,1.06278,0.89863,0.8584,0.92544,0.62175,1.14354,0.56357,1.07617,0.00081982,0.00081982,0.00081982
93,1567.33,1.22221,0.6498,1.06819,0.9127,0.85281,0.92567,0.6214,1.16041,0.56343,1.09168,0.00081784,0.00081784,0.00081784
94,1584.17,1.21296,0.64364,1.06009,0.90412,0.85893,0.92816,0.6285,1.13782,0.55162,1.0765,0.00081586,0.00081586,0.00081586
95,1600.96,1.22414,0.64875,1.06554,0.90341,0.85885,0.92741,0.626,1.14412,0.5587,1.08391,0.00081388,0.00081388,0.00081388
96,1617.85,1.21347,0.6451,1.06439,0.90216,0.85606,0.92505,0.62162,1.1555,0.56955,1.08834,0.0008119,0.0008119,0.0008119
97,1634.69,1.22728,0.64702,1.06385,0.90447,0.85635,0.92664,0.6248,1.14101,0.56654,1.07675,0.00080992,0.00080992,0.00080992
98,1651.55,1.21672,0.64316,1.06404,0.88964,0.8665,0.92845,0.62645,1.14834,0.55753,1.08166,0.00080794,0.00080794,0.00080794
99,1668.42,1.22551,0.64577,1.06253,0.89811,0.86638,0.92668,0.62685,1.14401,0.55836,1.08358,0.00080596,0.00080596,0.00080596
100,1685.03,1.22377,0.64642,1.06459,0.90776,0.85119,0.92554,0.62612,1.14009,0.56721,1.0776,0.00080398,0.00080398,0.00080398
101,1701.68,1.21247,0.6414,1.06358,0.89594,0.86968,0.92623,0.62527,1.14932,0.56474,1.08296,0.000802,0.000802,0.000802
102,1718.53,1.22504,0.6465,1.06545,0.9123,0.85796,0.92855,0.62767,1.13816,0.54946,1.07856,0.00080002,0.00080002,0.00080002
103,1735.28,1.21674,0.64366,1.05789,0.90154,0.86254,0.92819,0.62829,1.14279,0.55656,1.0793,0.00079804,0.00079804,0.00079804
104,1751.97,1.21292,0.64463,1.06315,0.91692,0.84704,0.92634,0.62438,1.14296,0.55625,1.07809,0.00079606,0.00079606,0.00079606
105,1768.78,1.21413,0.64454,1.06326,0.89972,0.86604,0.92819,0.6284,1.13551,0.54863,1.07715,0.00079408,0.00079408,0.00079408
106,1785.48,1.21269,0.64202,1.06222,0.89316,0.86946,0.92576,0.62602,1.14075,0.55031,1.07053,0.0007921,0.0007921,0.0007921
